0	Kingdom	Phylum	Class	Order	Family	Genus
3003	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified
7796	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Agathobacter
7797	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia
7798	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified
10980	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium
7939	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified
11339	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Terrisporobacter
7938	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified
11338	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
11337	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified
11336	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified
7917	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Mediterraneibacter
7916	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Terrisporobacter
7915	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified
7913	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified
7993	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium
11335	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified
7911	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified
7910	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Terrisporobacter
7907	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Phocaeicola
7905	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified
7904	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified
